db_id,question,pred_sql,gt_sql,pred_rows,gt_rows
movie_platform,What is the average number of number of movies added to the lists of user 8516503? Indicate how many movies did he/she give a rating score of 5.,"SELECT 
    AVG(l.list_movie_number) AS avg_movies,
    (SELECT COUNT(*) FROM ratings WHERE user_id = 8516503 AND rating_score = 5) AS five_star_count
FROM lists_users lu
JOIN lists l ON lu.list_id = l.list_id
WHERE lu.user_id = 8516503;","SELECT AVG(T3.list_movie_number) , SUM(CASE WHEN T1.rating_score = 5 THEN 1 ELSE 0 END) FROM ratings AS T1 INNER JOIN lists_users AS T2 ON T1.user_id = T2.user_id INNER JOIN lists AS T3 ON T2.user_id = T3.user_id WHERE T1.user_id = 8516503","[{""avg_movies"":30.6,""five_star_count"":268}]","[{""AVG(T3.list_movie_number)"":30.6,""SUM(CASE WHEN T1.rating_score = 5 THEN 1 ELSE 0 END)"":60300}]"
book_publishing_company,List all employees working for publisher 'GGG&G'. State their name and job description.,"SELECT CONCAT(e.fname, ' ', e.minit, ' ', e.lname) AS employee_name, j.job_desc 
FROM employee e 
JOIN jobs j ON e.job_id = j.job_id 
JOIN publishers p ON e.pub_id = p.pub_id 
WHERE p.pub_name = 'GGG&G';","SELECT T1.fname, T1.lname, T3.job_desc FROM employee AS T1 INNER JOIN publishers AS T2 ON T1.pub_id = T2.pub_id INNER JOIN jobs AS T3 ON T1.job_id = T3.job_id WHERE T2.pub_name = 'GGG&G'","[{""employee_name"":""Janine Y Labrune"",""job_desc"":""Publisher""}]","[{""fname"":""Janine"",""lname"":""Labrune"",""job_desc"":""Publisher""}]"
retail_complains,What is the full name of client whose email address is emily.garcia43@outlook.com?,"SELECT CONCAT(first, ' ', middle, ' ', last) AS full_name FROM client WHERE email = 'emily.garcia43@outlook.com' LIMIT 1;","SELECT first, middle, last FROM client WHERE email = 'emily.garcia43@outlook.com'","[{""full_name"":""Emily Joann Garcia""}]","[{""first"":""Emily"",""middle"":""Joann"",""last"":""Garcia""}]"
codebase_comments,How many percent more of the stars for the repository of solution No.51424 than No.167053?,"SELECT 
    ROUND(
        (
            (SELECT Stars FROM Repo WHERE Id = (SELECT RepoId FROM Solution WHERE Id = 51424)) - 
            (SELECT Stars FROM Repo WHERE Id = (SELECT RepoId FROM Solution WHERE Id = 167053))
        ) / 
        (SELECT Stars FROM Repo WHERE Id = (SELECT RepoId FROM Solution WHERE Id = 167053)) 
        * 100, 2
    ) AS PercentMore;",SELECT CAST(SUM(CASE WHEN T2.Id = 51424 THEN T1.Stars ELSE 0 END) - SUM(CASE WHEN T2.Id = 167053 THEN T1.Stars ELSE 0 END) AS REAL) * 100 / SUM(CASE WHEN T2.Id = 167053 THEN T1.Stars ELSE 0 END) FROM Repo AS T1 INNER JOIN Solution AS T2 ON T1.Id = T2.RepoId,"[{""PercentMore"":300.0}]","[{""CAST(SUM(CASE WHEN T2.Id = 51424 THEN T1.Stars ELSE 0 END) - SUM(CASE WHEN T2.Id = 167053 THEN T1.Stars ELSE 0 END) AS REAL) * 100 \/ SUM(CASE WHEN T2.Id = 167053 THEN T1.Stars ELSE 0 END)"":300.1500938086}]"
movie,"In rated PG movies, how many of them released in June 1990?",pipeline-crash,cannot unpack non-iterable NoneType object
computer_student,Which professor taught the most courses and what is the position of this person in the university?,"SELECT p.professor, p.hasPosition FROM person p JOIN taughtBy t ON p.p_id = t.p_id GROUP BY p.professor ORDER BY COUNT(t.course_id) DESC LIMIT 1;","SELECT T1.p_id, T1.hasPosition FROM person AS T1 INNER JOIN taughtBy AS T2 ON T1.p_id = T2.p_id GROUP BY T1.p_id ORDER BY COUNT(T2.course_id) DESC LIMIT 1","[{""professor"":1,""hasPosition"":""Faculty""}]","[{""p_id"":331,""hasPosition"":""Faculty""}]"
talkingdata,How many users installed the app but are not active?,pipeline-crash,cannot unpack non-iterable NoneType object
